id,host_is_superhost,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,accommodates,minimum_nights,maximum_nights,instant_bookable,availability_365,price,number_of_reviews,reviews_per_month,review_scores_rating,survived,bathrooms,host_tenure_days,has_wifi,has_kitchen,has_air_conditioning,has_heating,bedrooms,beds,is_entire_place,is_private_room,is_hotel_room
723855900270253006,0.0,1.0,2.0,1.0,7,2,365,0,170,240.0,5,1.03,5.0,1,2.0,981.0,1,1,1,1,4.0,5.0,1,0,0
723857751435418373,1.0,1.0,3.0,1.0,6,2,365,1,321,130.0,21,3.8,4.95,1,2.5,3721.0,1,1,1,1,2.0,3.0,1,0,0
723872098938239215,0.0,1.0,1.0,1.0,8,1,30,0,1,621.0,9,1.85,5.0,0,3.0,2519.0,1,1,1,1,4.0,5.0,1,0,0
723952827886075529,0.0,1.0,1.0,1.0,4,2,6,0,10,289.0,3,0.59,5.0,1,2.5,187.0,1,1,1,1,2.0,2.0,1,0,0
723980853213903081,0.0,1.0,2.0,1.0,2,1,365,0,175,89.0,2,0.38,5.0,1,1.0,4259.0,1,1,1,1,1.0,1.0,0,1,0
724012844048953540,0.0,0.97,3.0,1.0,6,1,365,0,326,224.0,1,0.88,5.0,0,2.0,187.0,1,1,1,1,2.0,4.0,1,0,0
724018141747499491,0.0,0.97,3.0,1.0,6,1,365,0,349,244.0,5,5.0,5.0,0,2.0,187.0,1,1,1,1,2.0,3.0,1,0,0
724128150624982795,1.0,1.0,3.0,1.0,8,2,14,0,21,570.0,4,0.72,5.0,1,3.0,2895.0,1,1,1,1,3.0,6.0,1,0,0
724138196371568194,0.0,1.0,2.0,1.0,2,3,30,1,180,275.0,3,0.63,5.0,0,1.0,2835.0,1,0,1,0,1.0,1.0,1,0,0
724166284219096885,0.0,0.83,2.0,1.0,6,2,365,0,216,234.0,5,0.89,5.0,0,2.0,3205.0,1,1,1,1,3.0,3.0,1,0,0
724170740573093678,1.0,0.97,7.0,1.0,3,1,365,1,171,132.0,5,0.9,4.8,0,1.0,228.0,1,1,1,1,1.0,1.0,1,0,0
