id,host_is_superhost,host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,property_type,room_type,accommodates,minimum_nights,maximum_nights,instant_bookable,availability_365,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood_cleansed,survived,bathrooms,host_tenure_days,has_wifi,has_kitchen,has_air_conditioning,has_free_parking,has_heating,has_bed_linens,has_tv
772437576223794497,0.0,within an hour,0.99,0.98,25.0,1.0,Entire condo,Entire home/apt,6,1,90,1,99,296.0,5,2.5,4.8,4.8,4.8,4.8,5.0,5.0,4.8,78701,0,2.0,780.0,1,1,1,0,1,1,1
772460114783486904,0.0,within an hour,0.68,0.99,721.0,1.0,Entire condo,Entire home/apt,4,30,1125,1,364,136.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78702,0,2.5,337.0,1,1,1,1,0,1,1
772463919036190764,0.0,within an hour,1.0,1.0,4.0,1.0,Casa particular,Entire home/apt,3,1,21,1,331,130.0,9,5.74,4.78,4.67,4.78,5.0,5.0,4.11,4.78,78702,1,1.0,2760.0,1,1,1,1,1,1,1
772466214995603608,0.0,within a few hours,1.0,0.5,5.0,1.0,Entire home,Entire home/apt,6,7,33,0,363,408.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78704,0,1.5,3581.0,1,1,1,1,1,1,1
772480439969377415,0.0,within an hour,0.98,0.96,15.0,1.0,Entire rental unit,Entire home/apt,4,7,365,1,334,278.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78741,0,1.0,2297.0,0,1,1,1,0,0,1
772527476804638753,1.0,within an hour,1.0,0.99,9.0,1.0,Entire home,Entire home/apt,10,28,365,0,0,379.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78746,0,3.0,275.0,1,1,1,1,0,0,1
772562007308505250,0.0,within an hour,0.99,1.0,197.0,1.0,Entire home,Entire home/apt,16,1,1125,1,316,1266.0,6,2.43,4.83,5.0,5.0,4.67,4.5,3.5,5.0,78741,0,4.0,1353.0,1,1,1,1,1,1,1
772609466985107021,0.0,within an hour,0.98,0.96,15.0,1.0,Entire rental unit,Entire home/apt,6,7,365,1,319,285.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78741,0,2.0,2297.0,1,1,1,1,0,0,1
772642624449841123,0.0,within a few hours,0.82,0.9,1.0,1.0,Entire rental unit,Entire home/apt,2,1,365,0,198,114.0,4,1.25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78705,1,1.0,120.0,1,1,1,1,1,1,1
772648570565213233,0.0,within an hour,0.96,0.95,2.0,1.0,Private room in rental unit,Private room,2,1,365,0,12,67.0,27,7.86,5.0,5.0,4.89,4.93,5.0,4.85,4.85,78758,1,1.0,1387.0,0,1,1,1,1,0,1
772690601386516382,0.0,within an hour,0.99,0.98,82.0,1.0,Entire rental unit,Entire home/apt,4,1,365,0,357,69.0,2,0.97,5.0,5.0,5.0,5.0,5.0,4.5,5.0,78741,0,1.0,1433.0,1,1,1,1,1,1,1
772702065802862177,0.0,within an hour,0.99,0.98,82.0,1.0,Entire rental unit,Entire home/apt,2,1,1125,0,350,88.0,2,2.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,78741,0,1.0,1433.0,1,1,1,1,1,1,1
772708742405574861,1.0,within an hour,1.0,1.0,9.0,1.0,Private room,Private room,1,28,1125,0,222,35.0,2,2.0,5.0,4.5,5.0,5.0,5.0,5.0,4.5,78729,1,1.0,1831.0,1,1,1,0,1,1,1
772752282786044950,0.0,within an hour,0.98,0.96,15.0,1.0,Entire rental unit,Entire home/apt,4,7,365,1,319,271.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78741,0,1.0,2297.0,1,1,1,1,0,0,1
772782280145843002,0.0,within an hour,1.0,0.98,1.0,1.0,Private room in condo,Private room,2,1,30,0,212,45.0,14,4.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78759,1,1.0,2883.0,1,1,1,1,1,1,1
772794492028587007,0.0,within a few hours,0.87,0.99,4530.0,1.0,Entire rental unit,Entire home/apt,2,30,365,1,313,91.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78732,0,1.0,1409.0,1,1,1,0,1,1,1
772819445591594618,1.0,within an hour,1.0,1.0,6.0,1.0,Private room in home,Private room,2,1,5,0,359,161.0,14,4.38,4.93,4.93,4.93,5.0,5.0,4.93,4.86,78741,1,1.0,443.0,1,1,1,1,1,1,1
772838180217160876,1.0,within an hour,1.0,1.0,6.0,1.0,Private room in home,Private room,2,1,5,1,353,157.0,20,5.83,4.65,4.75,4.7,4.95,4.9,4.4,4.65,78741,1,1.0,443.0,1,1,1,1,1,0,1
773032771520925385,0.0,,,,4.0,1.0,Private room in home,Private room,2,1,31,0,8,82.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78723,0,1.0,2627.0,1,1,1,1,1,1,1
773064871029216221,0.0,within a day,1.0,1.0,1.0,1.0,Entire home,Entire home/apt,6,30,730,0,347,340.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78730,1,3.5,121.0,1,1,1,0,1,1,1
773098525089076880,0.0,within an hour,1.0,1.0,12.0,1.0,Entire condo,Entire home/apt,4,1,89,1,164,164.0,3,1.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78701,0,1.0,409.0,1,1,1,0,1,1,1
773144422175559413,0.0,within an hour,0.95,1.0,88.0,1.0,Entire rental unit,Entire home/apt,2,2,365,1,95,89.0,8,2.42,5.0,4.75,4.88,4.88,4.75,4.88,4.88,78705,0,1.0,1353.0,1,1,1,0,1,1,1
773160249044361607,1.0,within a few hours,0.86,1.0,41.0,1.0,Entire loft,Entire home/apt,2,2,90,1,16,210.0,10,3.16,4.8,4.8,4.8,4.8,4.9,4.7,4.7,78701,0,1.0,2249.0,1,1,1,1,1,1,1
773161126976098912,1.0,within a few hours,0.86,1.0,41.0,1.0,Entire loft,Entire home/apt,4,2,90,1,16,246.0,6,2.43,5.0,5.0,5.0,5.0,5.0,4.83,5.0,78701,0,1.5,2249.0,1,1,1,1,1,1,1
773161175882441633,1.0,within a few hours,0.86,1.0,41.0,1.0,Entire loft,Entire home/apt,4,2,90,1,29,244.0,8,3.0,4.75,4.88,4.88,4.75,5.0,4.38,4.38,78701,0,1.5,2249.0,1,1,1,1,1,1,1
773163798938185353,1.0,within a few hours,0.86,1.0,41.0,1.0,Entire loft,Entire home/apt,2,2,90,1,8,210.0,8,3.04,4.75,4.88,4.75,4.88,5.0,4.75,4.88,78701,0,1.0,2249.0,1,1,1,1,1,1,1
773164309315866755,1.0,within a few hours,0.86,1.0,41.0,1.0,Entire loft,Entire home/apt,2,2,90,1,5,210.0,10,3.09,4.8,4.8,4.9,5.0,5.0,4.6,4.8,78701,0,1.0,2249.0,1,1,1,1,1,1,1
773164720102764427,1.0,within a few hours,0.86,1.0,41.0,1.0,Entire loft,Entire home/apt,2,2,90,1,7,174.0,20,5.36,4.85,4.75,4.95,4.9,4.95,4.75,4.85,78701,0,1.0,2249.0,1,1,1,1,1,1,1
773176211573877391,1.0,within an hour,1.0,0.99,61.0,1.0,Entire loft,Entire home/apt,2,2,90,1,8,210.0,7,3.5,4.71,4.71,4.86,4.71,4.86,4.57,4.57,78701,0,1.0,3152.0,1,1,1,1,0,1,1
773179842989344500,1.0,within a few hours,0.86,1.0,41.0,1.0,Entire loft,Entire home/apt,4,2,90,1,7,253.0,15,4.59,4.87,4.73,4.53,4.87,4.93,4.67,4.67,78701,0,1.5,2249.0,1,1,1,1,1,1,1
773183590404741627,0.0,within an hour,0.97,0.75,1.0,1.0,Entire rental unit,Entire home/apt,2,2,6,0,23,104.0,4,2.0,4.75,4.5,5.0,4.0,4.5,4.5,4.5,78702,0,1.0,1616.0,1,1,1,1,0,0,1
773184953742194060,1.0,within a few hours,0.86,1.0,41.0,1.0,Entire loft,Entire home/apt,4,2,90,1,13,253.0,12,4.0,5.0,5.0,4.83,4.83,5.0,4.83,4.92,78701,0,1.5,2249.0,1,1,1,1,1,1,1
773796787437929435,1.0,within an hour,1.0,0.92,4.0,1.0,Private room in home,Private room,2,1,365,1,86,56.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78724,0,1.0,312.0,1,1,1,1,0,0,1
